geo_type,geo_area_id,geo_area_name,borough_id,time_period,Children tested for lead by age 3 years Number,Children tested for lead by age 3 years Number _NOTES,Children tested for lead by age 3 years Percentage,Children tested for lead by age 3 years Percentage _NOTES
Borough,1,Bronx,1,2008,17500,,86,
Borough,1,Bronx,1,2009,18000,,87,
Borough,1,Bronx,1,2010,17700,,87,
Borough,1,Bronx,1,2011,19400,,88,
Borough,1,Bronx,1,2012,19000,,87,
Borough,1,Bronx,1,2013,18500,,87,
Borough,1,Bronx,1,2014,17800,,87,
Borough,1,Bronx,1,2015,17300,,86,
Borough,1,Bronx,1,2016,17100,,86,
Borough,2,Brooklyn,2,2008,29700,,78,
Borough,2,Brooklyn,2,2009,30500,,80,
Borough,2,Brooklyn,2,2010,29600,,80,
Borough,2,Brooklyn,2,2011,34300,,82,
Borough,2,Brooklyn,2,2012,34500,,83,
Borough,2,Brooklyn,2,2013,34200,,83,
Borough,2,Brooklyn,2,2014,33100,,81,
Borough,2,Brooklyn,2,2015,33400,,79,
Borough,2,Brooklyn,2,2016,32300,,80,
Borough,3,Manhattan,3,2008,14700,,76,
Borough,3,Manhattan,3,2009,15000,,78,
Borough,3,Manhattan,3,2010,14300,,77,
Borough,3,Manhattan,3,2011,15900,,79,
Borough,3,Manhattan,3,2012,15600,,79,
Borough,3,Manhattan,3,2013,15000,,77,
Borough,3,Manhattan,3,2014,14800,,78,
Borough,3,Manhattan,3,2015,14200,,75,
Borough,3,Manhattan,3,2016,13500,,74,
Borough,4,Queens,4,2008,21400,,80,
Borough,4,Queens,4,2009,21700,,82,
Borough,4,Queens,4,2010,21400,,82,
Borough,4,Queens,4,2011,23800,,83,
Borough,4,Queens,4,2012,22900,,84,
Borough,4,Queens,4,2013,22700,,84,
Borough,4,Queens,4,2014,22500,,84,
Borough,4,Queens,4,2015,22500,,83,
Borough,4,Queens,4,2016,22000,,82,
Borough,5,Staten Island,5,2008,4400,,80,
Borough,5,Staten Island,5,2009,4500,,81,
Borough,5,Staten Island,5,2010,4300,,81,
Borough,5,Staten Island,5,2011,4900,,84,
Borough,5,Staten Island,5,2012,4800,,84,
Borough,5,Staten Island,5,2013,4600,,82,
Borough,5,Staten Island,5,2014,4600,,83,
Borough,5,Staten Island,5,2015,4400,,84,
Borough,5,Staten Island,5,2016,4400,,83,
Citywide,1,New York City,NULL,2008,87500,,80,
Citywide,1,New York City,NULL,2009,89700,,81,
Citywide,1,New York City,NULL,2010,87300,,81,
Citywide,1,New York City,NULL,2011,98400,,83,
Citywide,1,New York City,NULL,2012,96800,,83,
Citywide,1,New York City,NULL,2013,94900,,83,
Citywide,1,New York City,NULL,2014,92800,,83,
Citywide,1,New York City,NULL,2015,91800,,81,
Citywide,1,New York City,NULL,2016,89300,,81,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2014,2150,,76,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2015,1940,,80,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2008,400,,78,
Neighborhood (UHF 42),310,Lower Manhattan,3,2013,720,,75,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2015,2290,,77,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2012,2090,,83,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2015,1480,,85,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2008,3040,,86,
Neighborhood (UHF 42),303,East Harlem,3,2016,1280,,86,
Neighborhood (UHF 42),409,Southeast Queens,4,2015,1360,,73,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2012,730,,76,
Neighborhood (UHF 42),206,Borough Park,2,2016,5810,,79,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2012,2000,,83,
Neighborhood (UHF 42),406,Fresh Meadows,4,2016,910,,80,
Neighborhood (UHF 42),201,Greenpoint,2,2010,1710,,83,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2011,3430,,89,
Neighborhood (UHF 42),105,Crotona -Tremont,1,2011,3520,,89,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2009,2670,,80,
Neighborhood (UHF 42),301,Washington Heights,3,2016,2600,,85,
Neighborhood (UHF 42),201,Greenpoint,2,2011,2100,,88,
Neighborhood (UHF 42),304,Upper West Side,3,2015,2000,,70,
Neighborhood (UHF 42),206,Borough Park,2,2010,3890,,71,
Neighborhood (UHF 42),303,East Harlem,3,2009,1440,,88,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2011,2020,,82,
Neighborhood (UHF 42),410,Rockaways,4,2011,1220,,84,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2011,420,,82,
Neighborhood (UHF 42),205,Sunset Park,2,2012,2310,,66,
Neighborhood (UHF 42),102,Northeast Bronx,1,2011,1860,,86,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2012,3790,,88,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2014,1980,,84,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2009,1600,,80,
Neighborhood (UHF 42),208,Canarsie - Flatlands,2,2013,2140,,85,
Neighborhood (UHF 42),303,East Harlem,3,2012,1350,,88,
Neighborhood (UHF 42),301,Washington Heights,3,2009,3090,,85,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2013,3650,,87,
Neighborhood (UHF 42),310,Lower Manhattan,3,2009,380,,62,
Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2,2015,2140,,80,
Neighborhood (UHF 42),304,Upper West Side,3,2008,2270,,79,
Neighborhood (UHF 42),310,Lower Manhattan,3,2015,700,,70,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,2010,3010,,88,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2009,3190,,84,
Neighborhood (UHF 42),301,Washington Heights,3,2011,3120,,86,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2008,2300,,81,
Neighborhood (UHF 42),206,Borough Park,2,2013,5740,,80,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2012,380,,80,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2008,1800,,74,
Neighborhood (UHF 42),102,Northeast Bronx,1,2008,1640,,83,
Neighborhood (UHF 42),201,Greenpoint,2,2013,2040,,85,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2012,840,,81,
Neighborhood (UHF 42),103,Fordham - Bronx Pk,1,2014,3550,,88,
Neighborhood (UHF 42),102,Northeast Bronx,1,2015,1540,,84,
Neighborhood (UHF 42),401,Long Island City - Astoria,4,2008,1980,,81,
Neighborhood (UHF 42),107,Hunts Point - Mott Haven,1,2008,2040,,88,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2010,2720,,83,
Neighborhood (UHF 42),303,East Harlem,3,2014,1320,,88,
Neighborhood (UHF 42),503,Willowbrook,5,2011,890,,84,
Neighborhood (UHF 42),403,Flushing - Clearview,4,2013,1890,,75,
Neighborhood (UHF 42),301,Washington Heights,3,2010,2910,,86,
Neighborhood (UHF 42),304,Upper West Side,3,2012,2280,,79,
Neighborhood (UHF 42),501,Port Richmond,5,2011,960,,86,
Neighborhood (UHF 42),408,Jamaica,4,2011,3370,,88,
Neighborhood (UHF 42),201,Greenpoint,2,2012,2100,,87,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2009,660,,71,
Neighborhood (UHF 42),501,Port Richmond,5,2015,880,,85,
Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,3,2013,1850,,82,
Neighborhood (UHF 42),407,Southwest Queens,4,2009,2780,,83,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2011,2560,,82,
Neighborhood (UHF 42),303,East Harlem,3,2008,1360,,88,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2008,590,,67,
Neighborhood (UHF 42),104,Pelham - Throgs Neck,1,2015,3090,,85,
Neighborhood (UHF 42),308,Greenwich Village - SoHo,3,2010,550,,67,
Neighborhood (UHF 42),503,Willowbrook,5,2012,810,,82,
Neighborhood (UHF 42),406,Fresh Meadows,4,2009,880,,83,
Neighborhood (UHF 42),504,South Beach - Tottenville,5,2010,1560,,80,
Neighborhood (UHF 42),404,Bayside - Little Neck,4,2014,380,,79,
Neighborhood (UHF 42),305,Upper East Side,3,2012,2080,,73,
Neighborhood (UHF 42),405,Ridgewood - Forest Hills,4,2013,2360,,83,
Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2,2008,2700,,83,
Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1,2014,770,,82,
Neighborhood (UHF 42),408,Jamaica,4,2016,3120,,85,
Neighborhood (UHF 42),202,Downtown - Heights - Slope,2,2012,3090,,85,
Neighborhood (UHF 42),301,Washington Heights,3,2015,2750,,86,
