geo_type,geo_area_id,geo_area_name,borough_id,time_period,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number Tested,Children under 6 years with elevated blood lead levels (BLL) Number Tested _NOTES,"Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested_NOTES"
Borough,1,Bronx,1,2005,8245,,595,,167,,64500,,127.7,,9.2,,2.6,
Borough,1,Bronx,1,2006,7272,,474,,144,,67200,,108.2,,7.1,,2.1,
Borough,1,Bronx,1,2007,6174,,438,,135,,68300,,90.4,,6.4,,2,
Borough,1,Bronx,1,2008,4254,,292,,105,,69800,,60.9,,4.2,,1.5,
Borough,1,Bronx,1,2009,2742,,278,,103,,70000,,39.2,,4,,1.5,
Borough,1,Bronx,1,2010,2625,,290,,101,,70100,,37.5,,4.1,,1.4,
Borough,1,Bronx,1,2011,1996,,231,,75,,70100,,28.5,,3.3,,1.1,
Borough,1,Bronx,1,2012,1396,,184,,81,,66800,,20.9,,2.8,,1.2,
Borough,1,Bronx,1,2013,1312,,193,,74,,65300,,20.1,,3,,1.1,
Borough,1,Bronx,1,2014,1186,,177,,68,,63400,,18.7,,2.8,,1.1,
Borough,1,Bronx,1,2015,971,,155,,61,,61700,,15.7,,2.5,,1,
Borough,1,Bronx,1,2016,884,,162,,71,,59000,,15,,2.7,,1.2,
Borough,2,Brooklyn,2,2005,15015,,1301,,448,,106800,,140.6,,12.2,,4.2,
Borough,2,Brooklyn,2,2006,14199,,1230,,412,,103800,,136.9,,11.9,,4,
Borough,2,Brooklyn,2,2007,12622,,1002,,325,,104500,,120.7,,9.6,,3.1,
Borough,2,Brooklyn,2,2008,8288,,777,,266,,108300,,76.6,,7.2,,2.5,
Borough,2,Brooklyn,2,2009,6719,,698,,252,,111900,,60,,6.2,,2.3,
Borough,2,Brooklyn,2,2010,6182,,707,,250,,117500,,52.6,,6,,2.1,
Borough,2,Brooklyn,2,2011,5483,,595,,182,,119800,,45.8,,5,,1.5,
Borough,2,Brooklyn,2,2012,4017,,460,,148,,113700,,35.3,,4,,1.3,
Borough,2,Brooklyn,2,2013,3370,,380,,137,,111800,,30.1,,3.4,,1.2,
Borough,2,Brooklyn,2,2014,2929,,412,,149,,109300,,26.8,,3.8,,1.4,
Borough,2,Brooklyn,2,2015,2458,,423,,142,,108800,,22.6,,3.9,,1.3,
Borough,2,Brooklyn,2,2016,2314,,376,,122,,103800,,22.3,,3.6,,1.2,
Borough,3,Manhattan,3,2005,4851,,324,,85,,43900,,110.6,,7.4,,1.9,
Borough,3,Manhattan,3,2006,4531,,268,,92,,44600,,101.7,,6,,2.1,
Borough,3,Manhattan,3,2007,3935,,203,,52,,44600,,88.2,,4.5,,1.2,
Borough,3,Manhattan,3,2008,2428,,190,,55,,43900,,55.4,,4.3,,1.3,
Borough,3,Manhattan,3,2009,1579,,129,,39,,43300,,36.4,,3,,0.9,
Borough,3,Manhattan,3,2010,1228,,133,,45,,45100,,27.2,,3,,1,
Borough,3,Manhattan,3,2011,992,,110,,48,,44700,,22.2,,2.5,,1.1,
Borough,3,Manhattan,3,2012,654,,79,,32,,42700,,15.3,,1.8,,0.7,
Borough,3,Manhattan,3,2013,622,,68,,27,,41100,,15.1,,1.7,,0.7,
Borough,3,Manhattan,3,2014,539,,68,,20,,38400,,14,,1.8,,0.5,
Borough,3,Manhattan,3,2015,399,,59,,19,,37500,,10.6,,1.6,,0.5,
Borough,3,Manhattan,3,2016,289,,46,,22,,35800,,8.1,,1.3,,0.6,
Borough,4,Queens,4,2005,8238,,750,,278,,80400,,102.5,,9.3,,3.5,
Borough,4,Queens,4,2006,7638,,694,,246,,82800,,92.3,,8.4,,3,
Borough,4,Queens,4,2007,6699,,550,,198,,84100,,79.6,,6.5,,2.4,
Borough,4,Queens,4,2008,4821,,471,,160,,89700,,53.7,,5.2,,1.8,
Borough,4,Queens,4,2009,3649,,403,,147,,90700,,40.2,,4.4,,1.6,
Borough,4,Queens,4,2010,3528,,400,,161,,92200,,38.2,,4.3,,1.7,
Borough,4,Queens,4,2011,2649,,353,,128,,92900,,28.5,,3.8,,1.4,
Borough,4,Queens,4,2012,1864,,286,,119,,90600,,20.6,,3.2,,1.3,
Borough,4,Queens,4,2013,1638,,239,,77,,89900,,18.2,,2.7,,0.9,
Borough,4,Queens,4,2014,1658,,271,,95,,89400,,18.6,,3,,1.1,
Borough,4,Queens,4,2015,1377,,244,,87,,89500,,15.4,,2.7,,1,
Borough,4,Queens,4,2016,1247,,203,,75,,87400,,14.3,,2.3,,0.9,
Borough,5,Staten Island,5,2005,990,,112,,36,,14500,,68.2,,7.7,,2.5,
